year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,plastic_collect,283,0.195219701
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,total_glass_collect,954,0.195219701
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,total_garbage_collect,2730,0.170716889
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,total_recycle_actual,560.9,0.170716889
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,organic_collect,0,0.170716889
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,aluminium_collect,1.9,0.170716889
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,steel_collect,7.3,0.170716889
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,paper_collect,291.6,0.170716889
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,plastic_collect,28.7,0.170716889
2002,14320,Hepburn Shire Council,0.229888268,0.190642458,0.03924581,0,total_glass_collect,231.4,0.170716889
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,total_garbage_collect,1017.6,0.442563681
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,total_recycle_actual,599.9,0.442563681
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,organic_collect,0,0.442563681
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,aluminium_collect,15,0.442563681
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,steel_collect,4.5,0.442563681
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,paper_collect,365,0.442563681
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,plastic_collect,20.4,0.442563681
2002,6500,Hindmarsh Shire Council,0.280846154,0.156553846,0.124292308,0,total_glass_collect,195,0.442563681
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,total_garbage_collect,19822.82,0.306619963
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,total_recycle_actual,6293.25,0.306619963
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,organic_collect,2269,0.306619963
